HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION,NUM
,TŌNGZHĪ,"comunicar, notificar, informar",VER,notificación,NOM,18,19
,JĪNGGUÒ,"pasar, atravesar, pasar por",VER,,,18,32
,HǍOXIÀNG,parecer,VER,,,18,33
,XIÀNG,parecer,VER,,,18,34
,CHÉNG,"viajar, tomar",VER,,,18,43
,HUÀ,pintar,VER,"cuadro, pintura",NOM,19,2
,ÀIHÀO,"gustar, tener algo como hobby",VER,hobby,NOM,19,14
,CHÀNGGĒ,cantar (una canción),VER,,,19,15
,CHÀNG,cantar,VER,,,19,16
,XIǍNGXIÀNG,imaginar,VER,imaginación,NOM,19,34
,PǍO,correr,VER,,,19,35
,YÓU,nadar,VER,,,19,39
爱,ÀI,amar,VER,amor,NOM,20,8
涮,SHUÀN,"remojar, revolver (comida, ropa, piso, etc.)",VER,,,20,10
开,KĀI,conducir,VER,abierto,ADJ,20,15
化,HUÀ,cambiar,VER,,,20,20
演奏,YǍNZÒU,dar una actuación musical,VER,,,20,29
演,YǍN,"tocar, interpretar",VER,,,20,30
奏,ZÒU,tocar un instrumento musical,VER,,,20,31
习惯,XÍGUÀN,estar acostumbrado,VER,"costumbre, hábito",NOM,20,32
出租,CHŪZŪ,alquilar,VER,,,20,36
出发,CHŪFĀ,"partir, salir",VER,,,20,44
赢,YÍNG,ganar,VER,,,21,5
输,SHŪ,perder,VER,,,21,6
平,PÍNG,empatar,VER,,,21,7
比赛,BǏSÀI,"partido, competición",NOM,"jugar un partido, competir",VER,21,12
赛,SÀI,"partido, juego, competición, concurso",NOM,competir,VER,21,13
提高,TÍGĀO,"mejorar, aumentar, elevar",VER,,,21,24
提,TÍ,elevar,VER,,,21,25
踢,TĪ,"patear, dar una patada",VER,,,21,26
距离,JÙLÍ,distancia,NOM,distar,VER,21,38
离开,LÍKĀI,"dejar, irse",VER,,,21,39
离婚,LÍHŪN,divorcio,VER,,,21,40
分手,FĒNSHǑU,terminar (relación),VER,,,21,41
拐,GUǍI,"doblar, girar",VER,,,21,48
卧,WÒ,acostarse,VER,,,21,57
