HANZI,PINYIN [PLECO],DEF1,TIPO1,DEF2,TIPO2,LESSON,NUMBER,LECCION,NUM,#
节目,JIÉMÙ,"programa, item (de un programa)",NOM,,,14,6,,,215
节日,JIÉRÌ,festival,NOM,,,15,16,,,216
结婚,JIÉHŪN,"casarse, estar casado",VER,,,7,6,,,217
结束,JIÉSHÙ,"terminar, finalizar, cerrar",VER,,,11,7,,,218
姐姐,JIĚJIE,hermana mayor,NOM,,,,,8,6,219
解决,JIĚJUÉ,"resolver, arreglar",VER,,,20,11,,,220
介绍,JIÈSHÀO,"presentar, recomendar, sugerir",VER,introducción,NOM,,,7,8,221
借,JIÈ,tomar prestado / prestar,VER,,,11,2,16,13,222
今天,JĪNTIĀN,hoy,NOM,,,,,6,7,223
进,JÌN,"entrar, avanzar",VER,,,,,,,224
近,JÌN,cercano,ADJ,"acercarse, estar cerca de",VER,,,21,44,225
经常,JĪNGCHÁNG,"a menudo, frecuentemente",ADV,diario,ADJ,13,15,,,226
经过,JĪNGGUÒ,"pasar, atravesar, pasar por",VER,,,19,14,18,32,227
经理,JĪNGLǏ,"gerente, director",NOM,administrar,VER,2,9,13,32,228
九,JIǓ,nueve,NUM,,,,,,,229
久,JIǓ,largo (tiempo),ADJ,,,7,4,16,29,230
旧,JIÙ,"viejo, pasado, usado",ADJ,,,10,9,18,8,231
就,JIÙ,"con exactitud, exactamente / ahora mismo",ADV,,,,,15,41,232
句子,JÙZI,oración,NOM,,,15,6,,,233
决定,JUÉDÌNG,"decidir, resolver",VER,"decisión, resolución",NOM,17,9,,,234
觉得,JUÉDE,"sentir, pensar",VER,,,,,17,34,235
咖啡,KĀFĒI,café,NOM,,,,,2,12,236
开,KĀI,"empezar, abrir, conducir",VER,abierto,ADJ,,,7,2,237
开始,KĀISHǏ,empezar,VER,,,,,17,14,238
看,KÀN,"mirar, ver",VER,,,,,7,3,239
看见,KÀNJIÀN,"mirar, echar un vistazo",V+O,,,,,,,240
考试,KǍOSHÌ,hacer un examen,VER,examen,NOM,,,16,30,241
可爱,KĚÀI,"adorable, agradable, precioso",ADJ,,,16,7,8,16,242
可能,KĚNÉNG,"quizás, puede que",VAUX,,,,,13,33,243
可以,KĚYǏ,"poder, puede que",VAUX,,,,,4,4,244
渴,KĚ,sediento,ADJ,sed,NOM,17,16,23sup,6,245
刻,KÈ,un cuarto (de hora),CLA,trimestre,NOM,7,11,11,6,246
客人,KÈREN,"cliente, invitado, visitante",NOM,,,4,16,,,247
课,KÈ,clase / lección,NOM,,,,,9,4,248
空调,KŌNGTIÁO,aire acondicionado,NOM,,,11,9,,,249
口,KǑU,bocado / boca,NOM,,,11 / 17,15 / 15,8,28,250
哭,KŪ,llorar,VER,,,19,11,22sup,13,251
裤子,KÙZI,pantalones,NOM,,,3,5,,,252
块,KUÀI,clas. para unidades básicas de moneda china (oral),CLA,,,,,10,20,253
快,KUÀI,rápido,ADJ,,,,,15,34,254
快乐,KUÀILÈ,feliz,ADJ,,,,,9,35,255
筷子,KUÀIZI,palillos (para comer),NOM,,,11,13,,,256
来,LÁI,llegar,VER,,,,,,,257
蓝,LÁN,azul,ADJ,azul,NOM,19,7,,,258
老,LǍO,"viejo, mayor, con experiencia",ADJ,,,8,13,19,10,259
老师,LǍOSHĪ,profesor/a,NOM,,,,,3,8,260
了,LE,partícula de aspecto,PT,,,,,5,22,261
累,LÈI,cansado,ADJ,,,,,23,44,262
冷,LĚNG,frío,ADJ,,,,,12,19,263
离,LÍ,separar,PRE,,,,,21,37,264
离开,LÍKĀI,"irse, dejar/alejarse de (un lugar)",VER,,,6,3,21,39,265
礼物,LǏWÙ,"regalo, obsequio",NOM,,,13,3,14,38,266
里,LǏ,interior,NOM,adentro,ADV,,,,,267
历史,LÌSHǏ,historia,NOM,,,10,3,,,268
脸,LIǍN,cara (de persona o animal),NOM,,,19,2,,,269
练习,LIÀNXÍ,ejercicio (en un libro),NOM,practicar,VER,15,4,14,32,270
