HANZI,PINYIN [PLECO],DEF1,TIPO1,DEF2,TIPO2,LESSON,NUMBER,LECCION,NUM,#
一,YĪ,uno,NUM,,,,,6,17,510
一般,YÌBĀN,"ordinario, común, general, usual",ADJ,,,13,8,,,511
一边,YÌBIĀN,"al mismo tiempo, simultáneamente",ADV,"un lado, lado, cualquier lado",NOM,13,6,,,512
一点儿,YĪDIǍNR,un poco,NOM,,,,,,,513
一定,YÍDÌNG,"deber, seguramente，necesariamente",ADV,,,9,6,17,12,514
一共,YÍGÒNG,en total,ADV,,,17,2,8,8,515
一会儿,YÍHUÌR,"un rato, un momento",NOM,,,8,10,16,15,516
一起,YÌQǏ,juntos,ADV,,,,,12,18,517
一下,YÍXIÀ,"(se utiliza después de un verbo para indicar una acción rápida, breve, aleatoria, informal)",OTR,,,,,7,4,518
一样,YÍYÀNG,mismo,ADJ,,,9,3,19,6,519
一直,YÌZHÍ,"todo el tiempo, continuamente, siempre",ADV,,,1,5,,,520
衣服,YĪFU,ropa,NOM,,,,,12,21,521
医生,YĪSHĒNG,médico,NOM,,,,,3,13,522
医院,YĪYUÀN,hospital,NOM,,,,,12,11,523
已经,YǏJĪNG,ya,ADV,,,,,17,7,524
以前,YǏQIÁN,"antes, previamente, antiguamente",NOM,,,7,2,22,37,525
椅子,YǏZI,silla,NOM,,,,,,,526
意思,YÌSI,"significado, idea, opinión",NOM,,,,,,,527
因为……所以…… ,YĪNWÈI…SUǑYǏ,"porque… así, por eso",CON,,,,,,,528
阴,YĪN,"(cielo) nublado, cubierto",NOM,,,,,,,529
音乐,YĪNYUÈ,música,NOM,,,6,11,10,29,530
银行,YÍNHÁNG,banco,NOM,,,7,3,15,2,531
饮料,YǏNLIÀO,"bebida, trago",NOM,,,3,13,,,532
应该,YĪNGGĀI,debería,VAUX,,,13,11,11,36,533
影响,YǏNGXIǍNG,"influencia, efecto",NOM,"influenciar, afectar",VER,9,13,,,534
用,YÒNG,utilizar / necesitar,VER,,,5,4,15,12,535
游戏,YÓUXÌ,"juego, recreación",NOM,jugar,VER,1,6,,,536
游泳,YÓUYǑNG,nadar,V+O,,,,,6,2,537
有,YǑU,tener,VER,,,,,6,14,538
有名,YǑUMÍNG,famoso,ADJ,,,18,8,10,7,539
又,YÒU,"y / de nuevo, otra vez",ADV,,,4 / 8,4 / 1,20,49,540
右边,YÒUBIAN,lado derecho,NOM,,,,,21,28,541
鱼,YÚ,"pez, pescado",NOM,,,,,,,542
遇到,YÙDÀO,encontrarse/cruzarse/reunirse (con alguien),V+O,,,13,5,,,543
元,YUÁN,clasificador para unidades básicas de moneda china (escrito),CLA,,,3,8,10,27,544
远,YUǍN,lejano,ADJ,,,,,21,43,545
愿意,YUÀNYÌ,estar dispuesto a hacer algo,VAUX,,,13,9,12,33,546
月,YUÈ,mes / luna,NOM,,,,,9,41,547
月亮,YUÈLIANG,luna,NOM,,,14,7,,,548
越,YUÈ,"mayor, en un grado más alto",ADV,"superar, exceder",VER,5,13,,,549
运动,YÙNDÒNG,"moverse, hacer ejercicio",VER,"deportes, ejercicio",NOM,,,,,550
再,ZÀI,otra vez,ADV,,,,,5,12,551
再见,ZÀIJIÀN,¡hasta luego!,FH,,,,,5,11,552
在,ZÀI,estar,VER,en,PRE,,,5,2,553
早上,ZǍOSHANG,(temprano en la) mañana,NOM,,,,,,,554
怎么,ZĚNME,"cómo, por qué",PI,,,,,10,16,555
怎么样,ZĚNMEYÀNG,¿Qué tal? / ¿Cómo?,PI,,,,,6,5,556
站,ZHÀN,estar parado,VER,"estación, parada",NOM,4,10,18,41,557
张,ZHĀNG,clasificador para objetos planos,CLA,,,19,5,8,14,558
长（动词）,ZHǍNG,"crecer, desarrollarse, mejorar, aumentar",VER,,,16,6,,,559
丈夫,ZHÀNGFU,"esposo, marido",NOM,,,,,,,560
着急,ZHÁOJÍ,"nervioso, ansioso",ADJ,estar nervioso/ansioso,V+O,1,8,20,50,561
找,ZHǍO,dar cambio / buscar,VER,,,,,10,26,562
照顾,ZHÀOGÙ,"cuidar, asistir",VER,,,5,3,,,563
照片,ZHÀOPIÀN,fotografía,NOM,,,4,2,8,3,564
照相机,ZHÀOXIÀNGJĪ,cámara de fotos,NOM,,,20,1,20,40,565
这,ZHÈ,"éste, ésta, esto",PRO,,,,,3,11,566
着,ZHE,(partícula que indica una acción en progreso),PT,,,,,,,567
真,ZHĒN,realmente,ADV,real / verdadero,ADJ,,,8,15,568
正在,ZHÈNGZÀI,en proceso de,ADV,,,,,24,8,569
只（量词）,ZHĪ,"clas. para botes, aves, algunos animales, uno de un par",CLA,,,18,3,,,570
知道,ZHĪDÀO,saber,VER,,,,,5,9,571
只（副词）,ZHǏ,solamente,ADV,,,3,11,19,32,572
只有……才……,ZHǏYǑU…CÁI,solo si… entonces,FH,,,20,7,,,573
中国,ZHŌNGGUÓ,China,NP,,,,,3,9,574
中间,ZHŌNGJIĀN,"entre, medio, intermedio",NOM,,,9,11,,,575
中文,ZHŌNGWÉN,chino (idioma),NOM,,,9,1,7,10,576
中午,ZHŌNGWǓ,mediodía,NOM,,,,,14,1,577
终于,ZHŌNGYÚ,"finalmente, al final, eventualmente",ADV,,,13,1,,,578
种（量词）,ZHǑNG,"especie, clase, tipo",CLA,,,18,14,22,41,579
重要,ZHÒNGYÀO,"importante, significante",ADJ,,,8,17,,,580
周末,ZHŌUMŌ,fin de semana,NOM,,,1,1,,,581
主要,ZHǓYÀO,principal,ADJ,,,10,13,19,27,582
住,ZHÙ,"vivir, residir",VER,,,,,14,22,583
注意,ZHÙYÌ,"prestar atención a, tomar nota de",VER,,,15,10,,,584
准备,ZHǓNBÈI,"preparar, prepararse, ponerse listo / planear",VER,,,,,,,585
桌子,ZHUŌZI,"mesa, escritorio",NOM,,,,,,,586
自己,ZÌJǏ,"uno mismo, propio",PRO,,,12,5,16,23,587
自行车,ZÌXÍNGCHĒ,bicicleta,NOM,,,10,7,,,588
字,ZÌ,"carácter, palabra",NOM,,,,,11,30,589
总是,ZǑNGSHÌ,siempre,ADV,,,4,8,,,590
走,ZǑU,"caminar, ir, andar",VER,,,,,17,24,591
嘴,ZUǏ,boca,NOM,,,18,4,,,592
最,ZUÌ,extremo (máximo o mínimo),ADV,,,,,20sup,9,593
最后,ZUÌHÒU,el último,NOM,,,9,4,,,594
最近,ZUÌJÌN,"recientemente, últimamente",NOM,el más cercano,ADJ,5,12,,,595
昨天,ZUÓTIĀN,ayer,NOM,,,,,6,3,596
左边,ZUǑBIAN,lado izquierdo,NOM,,,,,21,27,597
作业,ZUÒYÉ,"deberes, tarea (escolar), trabajo",NOM,,,1,7,,,598
坐,ZUÒ,sentarse,VER,,,,,5,6,599
做,ZUÒ,hacer,VER,,,,,8,19,600
