HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION
开学,KĀIXUÉ,empezar las clases,VMO,,,7
开,KĀI,"empezar, abrir",VER,abierto,ADJ,7
看,KÀN,"mirar, ver",VER,,,7
一下,YÍXIÀ,"(se utiliza después de un verbo para indicar una acción rápida, breve, aleatoria, informal)",OTR,,,7
名片,MÍNGPIÀN,tarjeta de visita,NOM,,,7
啊,À,"ah, oh",INT,,,7
教授,JIÀOSHÒU,profesor universitario,NOM,,,7
介绍,JIÈSHÀO,presentar,VER,introducción,NOM,7
名字,MÍNGZI,nombre,NOM,,,7
中文,ZHŌNGWÉN,chino (idioma),NOM,,,7
专业,ZHUĀNYÈ,"carrera, especialidad",NOM,,,7
美术,MĚISHÙ,bellas artes,NOM,,,7
美,MĚI,"bello, hermoso, guapo",ADJ,,,7
文学,WÉNXUÉ,literatura,NOM,,,7
系,XÌ,"facultad, instituto, departamento",NOM,,,7
