HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION
,JĪNNIÁN,este año,NOM,,,9
,NIÁN,año,NOM,,,9
,SUÌ,año (edad),CLA,,,9
,KÈ,clase / lección,NOM,,,9
,XĪNGQĪ,semana,NOM,,,9
,SHÀNGWǓ,por la mañana,NOM,,,9
,SHÀNG,encima / pasado,NOM,,,9
,XIÀWǓ,por la tarde,NOM,,,9
,XIÀ,debajo / próximo,NOM,,,9
,XĪNGQĪRÌ,domingo,NOM,,,9
,SHĒNGRI,cumpleaños,NOM,,,9
,SHĒNG,nacer,VER,vida,NOM,9
,DUŌDÀ,¿cuántos años / qué edad?,PI,,,9
,CHŪSHĒNG,nacer,VER,nacimiento,NOM,9
,CHŪ,salir,VER,fuera,ADV,9
,SHǓ,nacer en el año de,VER,,,9
,MǍ,caballo,NOM,,,9
,JÙHUÌ,fiesta,NOM,,,9
,HUÌ,reunión,NOM,,,9
,ZHÙHÈ,felicitar,VER,felicitación,NOM,9
,ZHÙ,"desear, felicitar",VER,deseo,NOM,9
,CĀNJIĀ,participar / asistir / integrarse,VER,,,9
,GUÒ,celebrar,VER,,,9
,CHĪ,comer,VER,,,9
,DÀNGĀO,pastel / torta,NOM,,,9
,DÀN,huevo,NOM,,,9
,GĀO,pastel,NOM,,,9
,MǍI,comprar,VER,,,9
,PÍNG,botella,CLA,,,9
,HÓNG,rojo,ADJ,,,9
,PÚTÁOJIǓ,vino,NOM,,,9
,PÚTÁO,uva,NOM,,,9
,JIǓ,bebida alcohólica,NOM,,,9
,BĚIJĪNG,Beijing,NP,,,9
,KUÀILÈ,feliz,ADJ,,,9
,PIÀOLIANG,guapa (chica) / bonito (cosas),ADJ,,,9
,KǍOYĀ,pato laqueado,NOM,,,9
,YĀ,pato,NOM,,,9
,SHÒUMIÀN,tallarines de la longevidad,NOM,,,9
,MIÀN,tallarín / cara,NOM,,,9
,YUÈ,mes / luna,NOM,,,9
,WǍNSHANG,noche,NOM,,,9
,ÉRZI,hijo,NOM,,,9
