HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION
,GUĀNGPÁN,CD,NOM,,,10
,CHÁNGCHÁNG,"a menudo, frecuentemente",ADV,,,10
,CHÁNG,"a menudo, frecuentemente",ADV,,,10
,GĒN,con,PRE,seguir,VER,10
,SHĀNGCHǍNG,centro comercial,NOM,,,10
,SHĀNG,"comercio, negocio",NOM,,,10
,YǑUMÍNG,famoso,ADJ,,,10
,SHŪ,libro,NOM,,,10
,BÀOZHǏ,"diario, periódico",NOM,,,10
,BĚNZI,"cuaderno, libreta",NOM,,,10
,NÀR,allí,PRO,,,10
,LIÁNGZHÙ,nombre de un concierto para violín chino,NP,,,10
,SHĪFU,trabajador experto / maestro,NOM,,,10
,XIĀNGJIĀO,plátano,NOM,,,10
,PÍNGGUǑ,manzana,NOM,,,10
,ZĚNME,"cómo, por qué",PI,,,10
,RÓNGYÌ,fácil,ADJ,,,10
,JĪN,clasificador de peso (medio kilo),CLA,,,10
,QIÁN,dinero,NOM,,,10
,KUÀI,clasificador para unidades básicas de moneda china (oral),CLA,,,10
,MÁO,clasificador de unidades de moneda china (oral),CLA,cabello,NOM,10
,GUÌ,"caro, apreciado",ADJ,,,10
,FĒN,clasificador de unidades de moneda china (oral y escrito),CLA,,,10
,SÒNG,regalar,VER,,,10
,GĚI,dar,VER,,,10
,ZHǍO,dar cambio / buscar,VER,,,10
,YUÁN,clasificador para unidades básicas de moneda china (escrito),CLA,,,10
,JIǍO,clasificador de unidades de moneda china (escrito),CLA,,,10
,YĪNYUÈ,música,NOM,,,10
,WÈISHÉNME,¿por qué? / ¿para qué?,PI,,,10
,YÍNWÈI,porque,CON,,,10
