HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION
,GŪNIANG,"chica, niña",NOM,,,13
,TĪNGSHUŌ,oír decir,VER,,,13
,TĪNG,escuchar,VER,,,13
,DÉ,"tener, conseguir, agarrar",VER,,,13
,GÀOSU,"decir, contar",VER,,,13
,JIÀN,"clasificador para pieza de ropa, parte",CLA,,,13
,SHÌR,"asunto, cosa, negocio",NOM,,,13
,SÀNBÙ,"dar un paseo, caminar",VMO,,,13
,BÙ,paso,NOM,,,13
,DIÀN,electricidad,NOM,,,13
,DIÀNYǏNG,película,NOM,,,13
,DIÀNYǏNGYUÀN,cine,NOM,,,13
,YǏNGZI,sombra,NOM,,,13
,KĚSHÌ,pero,CON,,,13
,ZHǍO,buscar,VER,,,13
,FÁNGZI,casa,NOM,,,13
,ZŪ,alquilar,VER,,,13
,JIĀN,"clasificador para habitación, casa, etc.",CLA,,,13
,CHÚFÁNG,cocina,NOM,,,13
,CÈSUǑ,baño,NOM,,,13
,FÁNGZŪ,(dinero del) alquiler,NOM,,,13
,GŌNGSĪ,empresa,NOM,,,13
,KĀFĒI,café,NOM,,,13
,SÙSHÈ,"dormitorio, habitación",NOM,,,13
,BÀN,hacer / hacer frente a,VER,,,13
,DǍDIÀNHUÀ,llamar por teléfono,VMO,,,13
,DIÀNHUÀ,llamada telefónica / teléfono,NOM,,,13
,RÀNG,"permitir, dejar",VER,,,13
,BĀNGZHÙ,ayudar,VER,ayuda,NOM,13
,WÉI,hola,OTR,,,13
,WÈI,clasificador personas (manera educada),CLA,,,13
,JĪNGLǏ,gerente,NOM,,,13
,KĚNÉNG,"quizás, puede que",VAUX,,,13
,CHĪFÀN,"comer, tomar (una comida)",VMO,,,13
,FÀN,comida,NOM,,,13
,DĚNG,esperar,VER,,,13
,QǏNG,"invitar, solicitar, pedir",VER,,,13
,JIĀMĚI,(nombre de inmobiliaria),NP,,,13
