HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION
,ZHŌNGWǓ,mediodía,NOM,,,14
,GĀNGCÁI,recién,ADV,,,14
,YÓUJÚ,oficina de correos,NOM,,,14
,YÓU,enviar por correo,VER,,,14
,JÚ,oficina,NOM,,,14
,JÌ,"enviar, mandar (algo físico)",VER,,,14
,DǍSǍO,limpiar,VER,,,14
,DǍ,golpear,VER,,,14
,SǍO,barrer,VER,,,14
,ZĀNG,sucio,ADJ,,,14
,GĀNJÌNG,limpio,ADJ,,,14
,BÙHǍOYÌSI,sentirse avergonzado,FH,,,14
,XǏ,lavar,VER,,,14
,WÀIPÓ,abuela (materna),NOM,,,14
,LǍOLǍO,abuela (materna),NOM,,,14
,ZHŌNGXUÉ,"liceo, secundario",NOM,,,14
,DǍGŌNG,trabajar a tiempo parcial,VER,,,14
,NÁNFĀNG,parte sur,NOM,,,14
,LǙXÍNG,viajar,VER,viaje,NOM,14
,XIǍNG,echar de menos,VER,,,14
,LIÚXUÉSHĒNG,estudiante extranjero,NOM,,,14
,ZHÙ,"vivir, residir",VER,,,14
,LÓU,edificio / piso,NOM,,,14
,DUÌ,correcto,ADJ,,,14
,CUÒ,incorrecto,ADJ,,,14
,NIÀN,leer (en voz alta),VER,,,14
,SHĒNGCÍ,nueva palabra,NOM,,,14
,SHĒNG,nuevo,ADJ,,,14
,CÍ,palabra,NOM,,,14
,FÙXÍ,repasar,VER,,,14
,KÈWÉN,"texto, lección de texto",NOM,,,14
,LIÀNXÍ,practicar,VER,ejercicio (en un libro),NOM,14
,LIÀN,practicar,VER,,,14
,KǑUYǓ,oral / lengua hablada,NOM,,,14
,YǓFǍ,gramática,NOM,,,14
,GUÒ,"celebrar (un cumpleaños, una festividad)",VER,,,14
,JIÉ,festividad,NOM,,,14
,LǏWÙ,regalo,NOM,,,14
,SHÈNGDÀN,Navidad,NP,,,14
,ŌUZHŌU,Europa,NP,,,14
,LĀMĚI,América Latina,NP,,,14
,SHÀNGHǍI,Shanghai,NP,,,14
