HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION
,QÍPÁO,vestido en estilo chino,NOM,,,17
,BǏ,que (indica comparación),PRE,,,17
,MÀI,vender,VER,,,17
,MǍI,comprar,VER,,,17
,ZHŌNGSHÌ,estilo chino,ADJ,,,17
,SHÌ,"tipo, estilo",NOM,,,17
,YǏJĪNG,ya,ADV,,,17
,SHĀNGDIÀN,tienda,NOM,,,17
,SHĀNG,"comercio, negocios",NOM,,,17
,DIÀN,tienda,NOM,,,17
,JÍLE,extremadamente,ADV,,,17
,YÍDÌNG,"deber, seguramente",ADV,,,17
,CHÀ,"que no es estándar, pobre, malo",ADJ,,,17
,KĀISHǏ,empezar,VER,,,17
,TÀIJÍQUÁN,taichi,NOM,,,17
,TÀO,"juego, conjunto",CLA,,,17
,SHUÀI,guapo (chico),ADJ,,,17
,YÁNSÈ,color,NOM,,,17
,HĒI,negro,ADJ,,,17
,HÓNG,rojo,ADJ,,,17
,BÁI,blanco,ADJ,,,17
,PIÁNYI,barato,ADJ,,,17
,GŌNGYUÁN,parque,NOM,,,17
,ZǑU,"caminar, ir, andar",VER,,,17
,XIǍOSHÍ,hora,NOM,,,17
,GUÒQÙ,pasar (el tiempo),VER,,,17
,CHÈNSHĀN,camisa,NOM,,,17
,LǛ,verde,ADJ,,,17
,YÀNGZI,"forma, ejemplo, modelo, patrón",NOM,,,17
,SHÒUHUÒYUÁN,"dependiente, vendedor",NOM,,,17
,SHÒU,vender,VER,,,17
,HUÒ,bienes,NOM,,,17
,SHÌ,"probarse, intentar",VER,,,17
,JUÉDE,"sentir, pensar",VER,,,17
,HÉSHÌ,"adecuado, apropiado, correcto",ADJ,,,17
,DUǍN,corto,ADJ,,,17
,CHÁNG,largo,ADJ,,,17
,GĀO,"elevado, alto",ADJ,,,17
,GŌNGFĒN,centímetro,NOM,,,17
,MÁFAN,"molestar, preocupar (a alguien)",VER,,,17
,SĪCHÓU,seda,NOM,,,17
,XĪFÚ,traje / ropa occidental,NOM,,,17
