HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION
,BǍ,(indicar que la acción tiene efecto sobre el objeto),PRE,,,16
,WÀNG,olvidar,VER,,,16
,TÚSHŪGUǍN,biblioteca,NOM,,,16
,TÚSHŪ,libros,NOM,,,16
,GUǍN,tienda / un lugar para actividades culturales,NOM,,,16
,BÀNGŌNGSHÌ,oficina,NOM,,,16
,BÀNGŌNG,trabajar (en una oficina),VER,,,16
,SHÌ,habitación,NOM,,,16
,SHÀNG,arriba / subir / última / anterior,OTR,,,16
,XIÀ,abajo / bajar / próximo,OTR,,,16
,XIĀN,primero / antes,ADV,,,16
,JIÈZHŪZHÈNG,carné de biblioteca,NOM,,,16
,JIÈ,tomar prestado / prestar,VER,,,16
,ZHÈNG,certificado / tarjeta,NOM,,,16
,YÍHUÌR,un rato,OTR,,,16
,DÀI,traer / llevar,VER,,,16
,TIÁN,rellenar,VER,,,16
,BIǍO,formulario / tabla / lista,NOM,,,16
,NÁ,agarrar,VER,,,16
,MÀN,"lento, lentamente",ADJ,,,16
,BÙXIÍNG,no estar permitido algo,VER,,,16
,SHĒNGHUÓ,vivir,VER,vida,NOM,16
,ZÌJǏ,"uno mismo, propio",PRO,,,16
,XÌNGMÍNG,nombre,NOM,,,16
,XÌNGBIÉ,sexo,NOM,,,16
,ZHÍYÈ,profesión,NOM,,,16
,JIĀO,"entregar / pagar (el alquiler, etc.)",VER,,,16
,CHÁNG,largo,ADJ,,,16
,JIǓ,largo (tiempo),ADJ,,,16
,KǍOSHÌ,hacer un examen,VER,examen,NOM,16
,KǍO,hacer un examen,VER,examen,NOM,16
,BÚCUÒ,no estar mal,ADJ,,,16
,FĀNYÌ,traducir / interpretar,VER,traductor / intérprete,NOM,16
,XĪN,nuevo,ADJ,,,16
,KÈBĚN,libro de texto,NOM,,,16
,CHŪ,salir,VER,fuera,ADV,16
,HUÁN,devolver,VER,,,16
,GUÒQĪ,haber vencido (un plazo),VMO,,,16
,GUÒ,aprobar (un examen),VER,,,16
,QĪ,período de tiempo,NOM,,,16
,FÁKUǍN,poner una multa,VMO,multa,NOM,16
,FÁ,"sancionar, penalizar",VER,,,16
,KUǍN,suma (de dinero),NOM,,,16
,DIÀNNǍO,computadora,NOM,,,16
,DIÀN,electricidad,NOM,,,16
,NǍO,cerebro,NOM,,,16
,CHÁ,"comprobar, buscar",VER,,,16
,SHÍYÒNG,práctico,ADJ,,,16
