HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION
,JÌ,recordar,VER,,,18
,CUÒ,incorrecto,ADJ,,,18
,BĀOGUǑ,"paquete, parcela",NOM,,,18
,BĀO,envolver,VER,bolsa,NOM,18
,XIĒ,alguno(s),CLA,,,18
,YĪNGWÉN,inglés (idioma),NOM,,,18
,CÍDIǍN,diccionario,NOM,,,18
,JIÙ,"viejo, pasado, usado",ADJ,,,18
,XĪN,nuevo,ADJ,,,18
,WǍNG,hacia,PRE,,,18
,HÁNGKŌNG,aviación,NOM,,,18
,KŌNG,"cielo, aire",NOM,,,18
,HǍIYÙN,transporte marítimo,NOM,,,18
,HǍI,"océano, mar, gran lago",NOM,,,18
,YÓUFÈI,"franqueo, gastos de envío",NOM,,,18
,FÈI,"gasto, costo",NOM,,,18
,QǓ,"recoger, agarrar, tomar",VER,,,18
,TŌNGZHĪDĀN,carta de aviso,VER,,,18
,TŌNGZHĪ,"comunicar, notificar, informar",VER,notificación,NOM,18
,DĀN,hoja de papel,NOM,,,18
,HǍIGUĀN,aduana,NOM,,,18
,BIÉ,no,ADV,,,18
,HÙZHÀO,pasaporte,NOM,,,18
,KÈQI,"cortés, atengo",ADJ,,,18
,JIÀNGUÓMÉN,lugar en Beijing,NP,,,18
,MÉN,"puerta, entrada",NOM,,,18
,LÙ,línea (de autobús) / camino,NOM,,,18
,GŌNGGÒNGQÌCHĒ,autobús público,NOM,,,18
,GŌNGGÒNG,público,ADJ,,,18
,QÌCHĒ,automóvil,NOM,,,18
,CHĒ,vehículo,NOM,,,18
,JĪNGGUÒ,"pasar, atravesar, pasar por",VER,,,18
,HǍOXIÀNG,parecer,VER,,,18
,XIÀNG,parecer,VER,,,18
,ZÁNMEN,nosotros,PRO,,,18
,SHÒUPIÀOYUÁN,vendedor de boletos / conductor,NOM,,,18
,PIÀO,"boleto, entrada",NOM,,,18
,DÀJIĀ,"todos, todo el mundo",PRO,,,18
,LǏBIAN,"adentro, interior",NOM,,,18
,BIAN,lado,NOM,,,18
,ZHÀN,"estación, parada",NOM,,,18
,CHÉNGKÈ,pasajero,NOM,,,18
,CHÉNG,"viajar, tomar",VER,,,18
,KÈ,"visitante, invitado",NOM,,,18
,DÌTIĚ,metro,NOM,,,18
,FÀNGXĪN,"tranquilizarse, relajarse",VMO,,,18
,ZĀOGĀO,"desastre, muy malo",ADJ,,,18
,QIÁNMÉN,lugar en Beijing ,NP,,,18
